Team_Year,Games,Wins,Losses,Fumbles_Recovered,Defensive_Rank,Defensive_Plays,Yards_Allowed,Total_TDs_Allowed,Avg_Sacks_Per_Game,Offensive_Rank
Central Mich. (MAC)_2016,13,6,7,5,54,888,5095,51,2.92,78
Charlotte (C-USA)_2016,12,4,8,6,105,902,5439,54,2.08,101
Cincinnati (AAC)_2016,12,4,8,7,72,951,5074,39,2.17,99
Clemson (ACC)_2016,15,14,1,7,8,1008,4672,34,1.33,12
Colorado (Pac-12)_2016,14,10,4,11,19,984,4795,36,2.21,47
Duke (ACC)_2016,12,4,8,9,67,791,4976,43,2.58,76
East Carolina (AAC)_2016,12,3,9,3,100,844,5433,56,2.58,23
Eastern Mich. (MAC)_2016,13,7,6,13,83,963,5625,52,1,35
FIU (C-USA)_2016,12,4,8,8,86,823,5215,55,2.58,98
Fla. Atlantic (C-USA)_2016,12,3,9,5,124,892,6166,63,2.08,72
Florida (SEC)_2016,13,9,4,8,5,816,3809,27,2.15,116
Florida St. (ACC)_2016,13,10,3,8,22,861,4538,40,2.77,25
Ga. Southern (Sun Belt)_2016,12,5,7,10,58,801,4759,39,1,91
Georgia (SEC)_2016,13,8,5,12,16,809,4257,41,1.85,87
Georgia St. (Sun Belt)_2016,12,3,9,7,46,931,4568,37,1.42,119
Georgia Tech (ACC)_2016,13,9,4,8,59,907,5221,40,1.23,85
Houston (AAC)_2016,13,9,4,11,13,866,4155,37,2.85,41
Idaho (Sun Belt)_2016,13,9,4,11,78,893,5568,52,1.92,74
Illinois (Big Ten)_2016,12,3,9,11,61,877,4861,47,1.67,123
Indiana (Big Ten)_2016,13,6,7,10,45,971,4941,42,2.23,56
Iowa (Big Ten)_2016,13,8,5,9,23,893,4565,30,2.31,121
Iowa St. (Big 12)_2016,12,3,9,4,102,911,5435,48,2.67,60
Kansas (Big 12)_2016,12,2,10,12,109,906,5474,58,2.25,106
Kansas St. (Big 12)_2016,13,9,4,9,51,874,5040,37,1.92,83
Kent St. (MAC)_2016,12,3,9,12,50,890,4638,43,2.83,125
Kentucky (SEC)_2016,13,7,6,8,85,928,5645,50,2.15,61
La.-Monroe (Sun Belt)_2016,12,4,8,7,119,867,5764,60,1.58,100
Louisiana (Sun Belt)_2016,13,6,7,8,43,929,4928,39,2.77,108
Louisiana Tech (C-USA)_2016,14,9,5,9,71,1018,5893,62,2,9
Louisville (ACC)_2016,13,9,4,10,14,894,4189,38,3.62,3
LSU (SEC)_2016,12,8,4,8,10,793,3773,16,1.58,59
Marshall (C-USA)_2016,12,3,9,12,107,857,5472,55,2.33,114
Maryland (Big Ten)_2016,13,6,7,7,77,980,5552,52,3.77,95
Massachusetts (FBS Independent)_2016,12,2,10,11,99,886,5432,53,3.75,109
Memphis (AAC)_2016,13,8,5,13,106,1025,5910,49,2.69,28
Miami (FL) (ACC)_2016,13,9,4,11,20,945,4492,28,1.92,57
Miami (OH) (MAC)_2016,13,6,7,7,25,876,4592,39,3.23,104
Michigan (Big Ten)_2016,13,10,3,6,1,809,3403,22,1.69,58
Michigan St. (Big Ten)_2016,12,3,9,5,32,792,4378,42,2.25,75
Middle Tenn. (C-USA)_2016,13,8,5,8,96,1068,5843,62,1.08,8
Minnesota (Big Ten)_2016,13,9,4,16,21,940,4534,35,1.31,107
Mississippi St. (SEC)_2016,13,6,7,9,110,957,5968,53,1.38,44
Missouri (SEC)_2016,12,4,8,5,118,949,5756,49,1.17,13
Navy (AAC)_2016,14,9,5,11,84,959,6076,54,1.64,46
NC State (ACC)_2016,13,7,6,12,24,894,4586,34,1.31,63
Nebraska (Big Ten)_2016,13,9,4,3,30,855,4728,40,1.15,90
New Mexico St. (Sun Belt)_2016,12,3,9,10,121,909,5960,60,3,64
North Carolina (ACC)_2016,13,8,5,13,63,987,5305,40,1.54,45
North Texas (C-USA)_2016,13,5,8,8,89,942,5717,55,3.31,117
Northern Ill. (MAC)_2016,12,5,7,2,98,936,5418,49,0.67,27
Northwestern (Big Ten)_2016,13,7,6,9,60,974,5257,34,3,73
Notre Dame (FBS Independent)_2016,12,4,8,6,42,842,4546,44,2.33,62
Ohio (MAC)_2016,14,8,6,11,27,984,5043,38,1.36,77
Ohio St. (Big Ten)_2016,13,11,2,6,6,882,3858,22,2.15,31
Oklahoma (Big 12)_2016,13,11,2,8,82,960,5616,46,1.62,2
Oklahoma St. (Big 12)_2016,13,10,3,11,92,979,5802,46,2.46,14
Old Dominion (C-USA)_2016,13,10,3,12,49,921,4987,47,1.46,50
Ole Miss (SEC)_2016,12,5,7,8,111,896,5535,50,2.17,26
Oregon (Pac-12)_2016,12,4,8,3,126,971,6221,68,2.42,15
Oregon St. (Pac-12)_2016,12,4,8,13,79,894,5150,45,2.08,105
Penn St. (Big Ten)_2016,14,11,3,11,37,1023,5151,42,1.71,49
Pittsburgh (ACC)_2016,13,8,5,10,101,985,5886,59,0.77,38
Purdue (Big Ten)_2016,12,3,9,4,91,860,5350,59,2.42,80
Rice (C-USA)_2016,12,3,9,6,123,815,6054,58,2.75,86
Rutgers (Big Ten)_2016,12,2,10,6,97,851,5408,60,2.83,128
SMU (AAC)_2016,12,5,7,8,103,906,5436,56,2.17,55
South Alabama (Sun Belt)_2016,13,6,7,10,53,900,5068,44,2.38,82
South Carolina (SEC)_2016,13,6,7,12,66,953,5355,44,3.15,115
South Fla. (AAC)_2016,13,11,2,11,120,1077,6266,50,1.15,11
Southern California (Pac-12)_2016,13,10,3,6,36,887,4773,41,0.92,20
Southern Miss. (C-USA)_2016,13,7,6,5,15,739,4223,50,2.23,21
Stanford (Pac-12)_2016,13,10,3,6,38,894,4785,33,2.62,103
Syracuse (ACC)_2016,12,4,8,9,122,870,6013,61,3.17,42
TCU (Big 12)_2016,13,6,7,8,73,1006,5522,43,2.38,29
Temple (AAC)_2016,14,10,4,13,3,852,3955,33,2.07,66
Tennessee (SEC)_2016,13,9,4,13,95,1000,5840,48,1.92,40
Texas (Big 12)_2016,12,5,7,10,94,955,5379,47,2.67,16
Texas A&M (SEC)_2016,13,8,5,12,90,1035,5743,38,1.62,24
Texas St. (Sun Belt)_2016,12,2,10,8,117,913,5653,63,3.67,126
Texas Tech (Big 12)_2016,12,5,7,8,128,943,6652,68,2.5,1
Toledo (MAC)_2016,13,9,4,4,57,888,5155,41,1.08,7
Troy (Sun Belt)_2016,13,10,3,8,35,944,4765,36,0.62,53
Tulane (AAC)_2016,12,4,8,15,31,816,4374,42,1.75,118
Tulsa (AAC)_2016,13,10,3,11,75,1013,5544,48,1.85,4
UCF (AAC)_2016,13,6,7,11,39,1008,4814,40,2.77,113
UCLA (Pac-12)_2016,12,4,8,8,47,944,4584,37,2,91
UConn (AAC)_2016,12,3,9,4,65,862,4929,43,3.08,122
Utah (Pac-12)_2016,13,9,4,13,48,895,4979,39,2.08,51
UTEP (C-USA)_2016,12,4,8,5,70,822,5032,53,1.83,102
UTSA (C-USA)_2016,13,6,7,11,55,895,5096,46,3.31,97
Vanderbilt (SEC)_2016,13,6,7,14,64,899,5306,37,2.46,110
Virginia (ACC)_2016,12,2,10,8,93,846,5359,51,3,112
Virginia Tech (ACC)_2016,14,10,4,9,18,955,4770,41,2.29,39
Wake Forest (ACC)_2016,13,7,6,15,40,903,4817,37,3,124
Washington (Pac-12)_2016,14,12,2,14,12,963,4436,30,1.86,32
Washington St. (Pac-12)_2016,13,8,5,11,62,873,5277,45,2.23,18
West Virginia (Big 12)_2016,13,10,3,11,74,995,5537,37,1.92,17
Western Ky. (C-USA)_2016,14,11,3,7,41,1014,5272,43,1.57,5
Western Mich. (MAC)_2016,14,13,1,11,26,850,4951,35,1.14,19
Wisconsin (Big Ten)_2016,14,11,3,6,7,857,4219,24,1.71,89
Air Force (MWC)_2017,12,5,7,5,66,694,4727,49,1.83,49
Akron (MAC)_2017,14,7,7,8,103,1030,6200,49,2.71,121
Alabama (SEC)_2017,14,13,1,5,1,913,3646,18,1.93,29
Appalachian St. (Sun Belt)_2017,13,9,4,8,29,839,4453,30,0.62,31
Arizona (Pac-12)_2017,13,7,6,6,118,1015,6125,59,1.46,12
Arizona St. (Pac-12)_2017,13,7,6,6,108,924,5846,54,3.15,37
Arkansas (SEC)_2017,12,4,8,9,101,815,5259,56,2.92,94
Arkansas St. (Sun Belt)_2017,12,7,5,10,54,857,4530,40,2.75,10
Army West Point (FBS Independent)_2017,13,10,3,9,32,727,4546,39,0.08,76
Auburn (SEC)_2017,14,10,4,13,14,957,4471,31,2.57,26
Ball St. (MAC)_2017,12,2,10,6,87,764,5059,65,2.75,110
Baylor (Big 12)_2017,12,1,11,8,111,849,5483,52,3.17,59
Boise St. (MWC)_2017,14,11,3,11,22,965,4657,42,2,57
Boston College (ACC)_2017,13,7,6,7,57,926,4977,37,1.15,84
Bowling Green (MAC)_2017,12,2,10,15,125,920,6079,61,2.42,85
Buffalo (MAC)_2017,12,6,6,6,71,870,4778,39,1.42,36
BYU (FBS Independent)_2017,13,4,9,9,51,906,4847,37,2,118
California (Pac-12)_2017,12,5,7,10,95,888,5159,40,2.92,89
Central Mich. (MAC)_2017,13,8,5,12,49,959,4820,44,1.92,77
Charlotte (C-USA)_2017,12,1,11,9,110,886,5455,51,1.83,123
Cincinnati (AAC)_2017,12,4,8,6,94,879,5142,46,1.42,101
Clemson (ACC)_2017,14,12,2,6,4,908,3874,22,2.21,38
Colorado (Pac-12)_2017,12,5,7,6,109,884,5407,42,3.25,48
Colorado St. (MWC)_2017,13,7,6,6,97,892,5611,46,1,11
Duke (ACC)_2017,13,7,6,4,21,828,4324,34,2.23,88
East Carolina (AAC)_2017,12,3,9,4,129,842,6500,73,1.25,42
Eastern Mich. (MAC)_2017,12,5,7,10,39,817,4363,35,1.42,83
FIU (C-USA)_2017,13,8,5,11,83,896,5394,47,2.23,73
Fla. Atlantic (C-USA)_2017,14,11,3,6,63,1051,5454,40,1.14,9
Florida (SEC)_2017,11,4,7,3,31,670,3842,36,3.36,109
Florida St. (ACC)_2017,13,7,6,6,18,906,4304,34,2.46,100
Fresno St. (MWC)_2017,14,10,4,12,15,924,4488,30,0.71,72
Ga. Southern (Sun Belt)_2017,12,2,10,6,80,746,4925,52,2.58,113
Georgia (SEC)_2017,15,13,2,8,6,943,4424,28,1.47,32
Georgia St. (Sun Belt)_2017,12,7,5,7,61,802,4654,38,2.08,81
Georgia Tech (ACC)_2017,11,5,6,4,33,706,3897,35,1.82,74
Hawaii (MWC)_2017,12,3,9,6,114,814,5505,55,2.5,63
Houston (AAC)_2017,12,7,5,6,88,944,5066,32,1.42,40
Idaho (Sun Belt)_2017,12,4,8,9,64,835,4685,36,4.17,104
Illinois (Big Ten)_2017,12,2,10,10,85,887,5021,50,3.5,126
Indiana (Big Ten)_2017,12,5,7,8,27,829,4081,39,2.42,70
Iowa (Big Ten)_2017,13,8,5,5,36,914,4647,30,1.92,116
Iowa St. (Big 12)_2017,13,8,5,8,43,882,4760,34,1.46,86
Kansas (Big 12)_2017,12,1,11,5,117,873,5620,68,2.42,117
Kansas St. (Big 12)_2017,13,8,5,11,90,953,5548,40,2,95
Kent St. (MAC)_2017,12,2,10,7,77,789,4900,56,3.83,127
Kentucky (SEC)_2017,13,7,6,7,91,893,5550,46,2.38,103
La.-Monroe (Sun Belt)_2017,12,4,8,5,128,880,6385,67,1.75,21
Louisiana (Sun Belt)_2017,12,5,7,6,123,899,5912,64,2.67,65
Louisiana Tech (C-USA)_2017,13,7,6,9,60,897,5012,41,1.92,62
Louisville (ACC)_2017,13,8,5,10,62,899,5045,47,2.54,3
LSU (SEC)_2017,13,9,4,6,12,811,4108,27,2.31,54
Marshall (C-USA)_2017,13,8,5,9,28,897,4442,32,0.85,92
Maryland (Big Ten)_2017,12,4,8,6,86,896,5033,59,2.92,119
Massachusetts (FBS Independent)_2017,12,4,8,7,75,844,4859,47,3.83,35
Memphis (AAC)_2017,13,10,3,15,116,1054,6061,56,1.62,4
Miami (FL) (ACC)_2017,13,10,3,14,38,989,4717,30,2.23,60
Miami (OH) (MAC)_2017,12,5,7,6,45,814,4411,37,1.83,90
Michigan (Big Ten)_2017,13,8,5,7,3,779,3523,30,2.77,105
Michigan St. (Big Ten)_2017,13,10,3,9,7,794,3869,31,1.62,91
Middle Tenn. (C-USA)_2017,13,7,6,6,35,939,4645,39,1.92,71
Minnesota (Big Ten)_2017,12,5,7,10,30,754,4160,36,1.83,122
Mississippi St. (SEC)_2017,13,9,4,8,10,761,3982,34,1,46
Missouri (SEC)_2017,13,7,6,5,82,962,5383,50,1,8
Navy (AAC)_2017,13,7,6,9,48,780,4814,43,1,39
NC State (ACC)_2017,13,9,4,7,58,898,4995,40,1,25
Nebraska (Big Ten)_2017,12,4,8,3,100,826,5234,58,2,87
Nevada (MWC)_2017,12,3,9,11,119,924,5656,51,1.33,67
New Mexico (MWC)_2017,12,3,9,7,70,779,4776,50,1.25,99
New Mexico St. (Independent)_2017,13,7,6,11,74,972,5211,50,2.46,28
North Carolina (ACC)_2017,12,3,9,9,98,895,5233,48,2.5,96
North Texas (C-USA)_2017,14,9,5,8,96,1013,6040,63,2.79,24
Northern Ill. (MAC)_2017,13,8,5,7,26,953,4401,33,2.08,93
Northwestern (Big Ten)_2017,13,10,3,8,34,926,4644,33,2.38,55
Notre Dame (FBS Independent)_2017,13,10,3,10,46,951,4799,34,2.31,27
Ohio (MAC)_2017,13,9,4,8,50,912,4831,38,1.23,34
Ohio St. (Big Ten)_2017,14,12,2,11,9,948,4213,35,1.57,7
Oklahoma (Big 12)_2017,14,12,2,10,67,947,5529,47,1.86,1
Oklahoma St. (Big 12)_2017,13,10,3,7,79,966,5321,48,1.85,2
Old Dominion (C-USA)_2017,12,5,7,8,92,885,5132,51,1.67,113
Ole Miss (SEC)_2017,12,6,6,5,115,895,5514,51,2.67,18
Oregon (Pac-12)_2017,13,7,6,10,46,946,4799,47,1.92,30
Oregon St. (Pac-12)_2017,12,1,11,7,120,859,5677,67,1.5,112
Penn St. (Big Ten)_2017,13,11,2,15,17,898,4283,27,2.23,19
Pittsburgh (ACC)_2017,12,5,7,7,69,798,4759,41,2.58,97
Purdue (Big Ten)_2017,13,7,6,11,52,926,4881,32,2.54,61
Rice (C-USA)_2017,12,1,11,3,89,795,5110,55,2.42,115
Rutgers (Big Ten)_2017,12,4,8,3,72,836,4783,41,1.5,128
San Diego St. (MWC)_2017,13,10,3,6,11,804,4088,34,2.38,64
San Jose St. (MWC)_2017,13,2,11,10,124,1045,6491,70,2.77,120
SMU (AAC)_2017,13,7,6,11,121,940,6197,62,1.77,15
South Alabama (Sun Belt)_2017,12,4,8,12,84,852,5013,38,2.08,111
South Carolina (SEC)_2017,13,9,4,14,44,924,4772,30,2.23,108
South Fla. (AAC)_2017,12,10,2,4,37,892,4317,37,1.5,6
Southern California (Pac-12)_2017,14,11,3,9,68,985,5539,46,2.14,13
Southern Miss. (C-USA)_2017,13,8,5,9,20,855,4315,40,1.08,43
Stanford (Pac-12)_2017,14,9,5,10,76,949,5672,39,1.21,79
Syracuse (ACC)_2017,12,4,8,8,105,832,5328,49,2.67,23
TCU (Big 12)_2017,14,11,3,7,19,916,4640,32,1.29,45
Temple (AAC)_2017,13,7,6,8,56,919,4959,40,1.54,80
Tennessee (SEC)_2017,12,4,8,10,81,834,4955,45,2.92,124
Texas (Big 12)_2017,13,7,6,10,41,916,4753,33,2.62,66
Texas A&M (SEC)_2017,13,7,6,12,78,943,5310,51,2.23,56
Texas St. (Sun Belt)_2017,12,2,10,9,102,852,5267,48,3,107
Texas Tech (Big 12)_2017,13,6,7,15,104,998,5769,52,2.23,16
Toledo (MAC)_2017,14,11,3,5,59,958,5390,48,1.57,14
Troy (Sun Belt)_2017,13,11,2,9,24,916,4381,30,1.15,46
Tulane (AAC)_2017,12,5,7,6,98,783,5233,47,2,75
Tulsa (AAC)_2017,12,2,10,7,127,868,6347,58,2.17,44
UAB (C-USA)_2017,13,8,5,5,41,882,4753,39,1.77,98
UCF (AAC)_2017,13,13,0,12,93,969,5563,43,1,5
UCLA (Pac-12)_2017,13,6,7,5,122,1004,6288,58,2.23,22
UConn (AAC)_2017,12,3,9,5,126,920,6228,61,2.92,50
UNLV (MWC)_2017,12,5,7,12,113,878,5504,49,2,41
Utah (Pac-12)_2017,13,7,6,13,25,868,4399,33,3,52
Utah St. (MWC)_2017,13,6,7,16,73,1002,5185,43,2.15,68
UTEP (C-USA)_2017,12,0,12,8,107,859,5359,60,2.08,129
UTSA (C-USA)_2017,11,6,5,9,5,636,3166,24,2.36,82
Vanderbilt (SEC)_2017,12,5,7,2,65,807,4717,48,1.58,102
Virginia (ACC)_2017,13,6,7,3,40,879,4746,49,2.38,106
Virginia Tech (ACC)_2017,13,9,4,6,13,820,4151,24,1.77,53
Wake Forest (ACC)_2017,13,8,5,7,112,1069,5945,45,1.54,17
Washington (Pac-12)_2017,13,10,3,9,8,876,3874,24,1.54,58
Washington St. (Pac-12)_2017,13,9,4,13,16,820,4203,41,3.38,33
West Virginia (Big 12)_2017,13,7,6,8,106,944,5792,50,1.46,20
Western Ky. (C-USA)_2017,13,6,7,5,53,888,4903,42,3.69,69
Western Mich. (MAC)_2017,12,6,6,16,55,806,4542,47,1.83,78
Wisconsin (Big Ten)_2017,14,13,1,9,2,831,3669,21,1.5,51
Wyoming (MWC)_2017,13,8,5,18,23,933,4358,27,2,125
Air Force (MWC)_2018,12,5,7,7,43,732,4331,42,0.58,52
Akron (MAC)_2018,12,4,8,11,61,898,4657,41,2.83,126
Alabama (SEC)_2018,15,14,1,7,16,981,4793,35,1,6
Appalachian St. (Sun Belt)_2018,13,11,2,6,6,845,3744,21,1.38,37
Arizona (Pac-12)_2018,12,5,7,8,92,904,5184,52,1.67,24
Arizona St. (Pac-12)_2018,13,7,6,9,73,921,5257,40,1.23,50
Arkansas (SEC)_2018,12,2,10,11,79,827,4958,53,2.67,117
Arkansas St. (Sun Belt)_2018,13,8,5,8,45,862,4804,45,1.85,17
Army West Point (FBS Independent)_2018,13,11,2,13,8,688,3842,30,0.23,76
Auburn (SEC)_2018,13,8,5,8,38,897,4620,26,1.77,78
Ball St. (MAC)_2018,12,4,8,6,109,913,5403,51,2.25,63
Baylor (Big 12)_2018,13,7,6,3,85,852,5532,51,3,22
Boise St. (MWC)_2018,13,10,3,17,39,820,4627,35,2.46,21
Boston College (ACC)_2018,12,7,5,8,70,935,4834,41,1.92,67
Bowling Green (MAC)_2018,12,3,9,8,106,834,5377,66,2.42,105
Buffalo (MAC)_2018,14,10,4,10,37,949,4975,48,1.07,55
BYU (FBS Independent)_2018,13,7,6,9,18,891,4213,37,2.23,100
California (Pac-12)_2018,13,7,6,7,15,898,4123,32,2.77,114
Central Mich. (MAC)_2018,12,1,11,12,36,860,4264,42,3,128
Charlotte (C-USA)_2018,12,5,7,7,22,700,4048,42,3.17,115
Cincinnati (AAC)_2018,13,11,2,8,11,840,3946,28,1.92,23
Clemson (ACC)_2018,15,15,0,12,5,1023,4288,23,1.13,3
Coastal Caro. (Sun Belt)_2018,12,5,7,8,110,741,5410,53,3.08,87
Colorado (Pac-12)_2018,12,5,7,7,52,871,4563,39,2.83,74
Colorado St. (MWC)_2018,12,3,9,5,111,798,5423,56,2.5,59
Duke (ACC)_2018,13,8,5,9,77,964,5314,48,2.31,65
East Carolina (AAC)_2018,12,3,9,6,101,859,5278,58,2.08,56
Eastern Mich. (MAC)_2018,13,7,6,11,35,922,4599,34,3,92
FIU (C-USA)_2018,13,9,4,5,56,887,5022,42,0.62,46
Fla. Atlantic (C-USA)_2018,12,5,7,3,88,863,5129,52,1.17,14
Florida (SEC)_2018,13,10,3,12,28,872,4463,30,1.38,42
Florida St. (ACC)_2018,12,5,7,3,80,954,4996,47,3,102
Fresno St. (MWC)_2018,14,12,2,7,17,954,4503,23,0.86,47
Ga. Southern (Sun Belt)_2018,13,10,3,12,41,851,4642,35,1.46,112
Georgia (SEC)_2018,14,11,3,9,13,890,4400,32,1.43,18
Georgia St. (Sun Belt)_2018,12,2,10,4,124,760,5874,58,2.08,89
Georgia Tech (ACC)_2018,13,7,6,13,46,805,4805,50,1.23,61
Hawaii (MWC)_2018,14,8,6,7,100,977,6156,65,3.29,48
Houston (AAC)_2018,13,8,5,10,126,1087,6454,62,2.31,7
Illinois (Big Ten)_2018,12,4,8,5,127,866,6100,64,2.25,62
Indiana (Big Ten)_2018,12,5,7,13,83,848,5085,45,2.25,51
Iowa (Big Ten)_2018,13,9,4,7,7,837,3817,28,1.23,91
Iowa St. (Big 12)_2018,13,8,5,8,33,898,4539,37,2.38,95
Kansas (Big 12)_2018,12,3,9,11,81,829,5022,46,2.58,109
Kansas St. (Big 12)_2018,12,5,7,8,71,814,4841,37,2.83,113
Kent St. (MAC)_2018,12,2,10,10,117,895,5607,60,3.58,82
Kentucky (SEC)_2018,13,10,3,11,23,838,4393,27,2.15,103
La.-Monroe (Sun Belt)_2018,12,6,6,6,90,817,5157,49,1.83,52
Louisiana (Sun Belt)_2018,14,7,7,7,97,966,6102,62,1.93,44
Louisiana Tech (C-USA)_2018,13,8,5,9,27,880,4437,39,2.54,84
Louisville (ACC)_2018,12,2,10,7,122,843,5802,71,3.58,108
LSU (SEC)_2018,13,10,3,8,25,915,4403,35,2.69,68
Marshall (C-USA)_2018,13,9,4,12,25,913,4403,33,1.54,72
Maryland (Big Ten)_2018,12,5,7,5,63,843,4685,42,2.5,94
Massachusetts (FBS Independent)_2018,12,4,8,8,123,846,5817,68,3.25,34
Memphis (AAC)_2018,14,8,6,12,89,1069,5994,59,1.71,4
Miami (FL) (ACC)_2018,13,7,6,9,4,843,3626,28,2.08,104
Miami (OH) (MAC)_2018,12,6,6,8,44,843,4418,42,1.67,93
Michigan (Big Ten)_2018,13,10,3,6,2,781,3577,32,1.77,49
Michigan St. (Big Ten)_2018,13,7,6,9,10,869,3941,24,2,116
Middle Tenn. (C-USA)_2018,14,8,6,8,50,965,5290,47,3,73
Minnesota (Big Ten)_2018,13,7,6,10,54,845,5015,42,2.08,86
Mississippi St. (SEC)_2018,13,8,5,7,1,829,3420,15,1.92,70
Missouri (SEC)_2018,13,8,5,6,62,889,5050,39,1,13
Navy (AAC)_2018,13,3,10,12,86,850,5543,60,1.54,110
NC State (ACC)_2018,13,9,4,9,66,859,5104,39,0.85,26
Nebraska (Big Ten)_2018,12,4,8,9,94,895,5202,47,2.33,25
Nevada (MWC)_2018,13,8,5,11,58,959,5038,46,1.31,38
New Mexico (MWC)_2018,12,3,9,13,119,898,5676,56,2.25,119
New Mexico St. (FBS Independent)_2018,12,3,9,10,120,961,5711,63,3.33,96
North Carolina (ACC)_2018,11,2,9,10,105,823,4924,49,0.91,31
North Texas (C-USA)_2018,13,9,4,4,48,915,4870,38,2.15,20
Northern Ill. (MAC)_2018,14,8,6,11,40,1046,4998,35,3.07,123
Northwestern (Big Ten)_2018,14,9,5,14,64,983,5472,38,2.57,107
Notre Dame (FBS Independent)_2018,13,12,1,9,30,957,4516,28,1.92,32
Ohio (MAC)_2018,13,9,4,16,65,834,5082,42,1.54,16
Ohio St. (Big Ten)_2018,14,13,1,12,72,979,5648,46,1.64,2
Oklahoma (Big 12)_2018,14,12,2,5,114,1036,6353,62,1.36,1
Oklahoma St. (Big 12)_2018,13,7,6,8,112,974,5882,55,2.62,10
Old Dominion (C-USA)_2018,12,4,8,5,118,906,5657,59,2.67,40
Ole Miss (SEC)_2018,12,5,7,8,121,918,5801,54,2.67,9
Oregon (Pac-12)_2018,13,9,4,6,55,956,5017,38,1.69,41
Oregon St. (Pac-12)_2018,12,2,10,5,128,868,6441,76,4,66
Penn St. (Big Ten)_2018,13,9,4,7,34,965,4556,34,2.38,45
Pittsburgh (ACC)_2018,14,7,7,9,59,929,5426,50,2.36,97
Purdue (Big Ten)_2018,13,6,7,3,113,982,5884,49,2.31,29
Rice (C-USA)_2018,13,2,11,11,103,842,5799,62,1.85,124
Rutgers (Big Ten)_2018,12,1,11,6,69,845,4818,49,1.33,127
San Diego St. (MWC)_2018,13,7,6,5,21,854,4350,35,2.54,111
San Jose St. (MWC)_2018,12,1,11,7,125,955,5941,57,3.25,122
SMU (AAC)_2018,12,5,7,11,91,931,5158,54,2.58,80
South Alabama (Sun Belt)_2018,12,3,9,6,107,804,5384,61,2.08,105
South Carolina (SEC)_2018,13,7,6,10,84,991,5516,42,1.77,43
South Fla. (AAC)_2018,13,7,6,10,104,994,5806,53,2.92,33
Southern California (Pac-12)_2018,12,5,7,6,60,868,4656,42,2.25,83
Southern Miss. (C-USA)_2018,11,6,5,8,3,672,3062,27,3,99
Stanford (Pac-12)_2018,13,9,4,7,78,942,5331,33,1.85,85
Syracuse (ACC)_2018,13,10,3,13,87,951,5545,42,2.85,19
TCU (Big 12)_2018,13,7,6,9,24,906,4397,38,1.23,98
Temple (AAC)_2018,13,8,5,13,47,1036,4843,47,1.38,60
Tennessee (SEC)_2018,12,5,7,6,49,799,4529,42,1.92,121
Texas (Big 12)_2018,14,10,4,8,67,982,5499,44,2,57
Texas A&M (SEC)_2018,13,9,4,4,32,785,4529,43,2.69,15
Texas St. (Sun Belt)_2018,12,3,9,12,53,869,4607,39,2.42,120
Texas Tech (Big 12)_2018,12,5,7,6,108,905,5387,47,2.08,12
Toledo (MAC)_2018,13,7,6,9,93,963,5620,54,2.31,30
Troy (Sun Belt)_2018,13,10,3,13,31,896,4523,38,2.08,79
Tulane (AAC)_2018,13,7,6,6,75,951,5288,46,2.69,69
Tulsa (AAC)_2018,12,3,9,11,76,869,4892,43,3.25,90
UAB (C-USA)_2018,14,11,3,11,9,875,4189,28,1.64,64
UCF (AAC)_2018,13,12,1,14,95,1031,5638,35,1.46,5
UCLA (Pac-12)_2018,12,3,9,7,102,891,5339,52,2.67,74
UConn (AAC)_2018,12,1,11,6,129,841,7409,81,2.33,88
UNLV (MWC)_2018,12,4,8,10,115,843,5450,55,2.58,77
Utah (Pac-12)_2018,14,9,5,6,14,956,4418,35,2.29,71
Utah St. (MWC)_2018,13,11,2,10,51,986,4933,33,0.77,11
UTEP (C-USA)_2018,12,1,11,6,68,797,4736,49,3.5,125
UTSA (C-USA)_2018,12,3,9,10,96,815,5226,47,3,129
Vanderbilt (SEC)_2018,13,6,7,9,99,929,5706,41,1.69,58
Virginia (ACC)_2018,13,8,5,4,20,815,4297,30,2.46,81
Virginia Tech (ACC)_2018,13,6,7,12,98,892,5703,53,2.15,39
Wake Forest (ACC)_2018,13,7,6,10,116,1015,5962,59,2.62,28
Washington (Pac-12)_2018,14,10,4,9,12,918,4287,26,1.71,54
Washington St. (Pac-12)_2018,13,11,2,11,42,838,4674,38,1,27
West Virginia (Big 12)_2018,12,8,4,9,74,839,4876,41,2.42,8
Western Ky. (C-USA)_2018,12,3,9,6,82,862,5059,37,2.67,101
Western Mich. (MAC)_2018,13,7,6,11,57,813,5026,60,1.54,35
Wisconsin (Big Ten)_2018,13,8,5,11,29,814,4474,33,1.85,36
Wyoming (MWC)_2018,12,6,6,5,19,818,3914,33,2,118
Air Force (Mountain West)_2019,13,11,2,9,17,752,4155,34,0.31,51
Akron (MAC)_2019,12,0,12,6,83,871,4967,56,4.83,130
Alabama (SEC)_2019,13,11,2,11,20,877,4217,26,0.92,6
Appalachian St. (Sun Belt)_2019,14,13,1,10,26,940,4705,35,1.29,39
Arizona (Pac-12)_2019,12,4,8,4,120,889,5657,54,2.75,30
Arizona St. (Pac-12)_2019,13,8,5,15,67,928,5113,39,2.54,94
Arkansas (SEC)_2019,12,2,10,10,110,827,5408,57,1.58,111
Arkansas St. (Sun Belt)_2019,13,8,5,7,124,1018,6218,56,3.08,33
Army West Point (FBS Independent)_2019,13,5,8,10,30,789,4450,38,1.15,89
